Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
198,173,157,293,176,135,148
160,221,34,231,126,81,91
71,90,92,284,174,107,63
108,160,255,240,168,58,22
340,428,397,309,348,110,181
814,732,825,809,833,194,332
1254,1356,1251,1670,918,354,287
1998,1678,1826,2000,2139,679,723
1705,1858,2027,2124,1882,811,517
2534,2395,2363,2883,2645,1138,1290
2875,2677,2393,2368,2497,1217,898
2330,2373,2695,2390,2192,1055,874
2526,2579,2258,2599,2146,1226,1172
2069,2614,2121,1874,2715,1225,1151
1823,1703,1955,1962,3035,954,1347
2116,2125,1814,1915,2571,872,1058
1814,1804,1775,1796,1481,1223,1476
1511,1190,1473,1580,1280,946,1648
1563,1659,1305,1485,1520,745,1512
1684,1341,1371,959,1173,920,706
1685,1272,1073,940,731,688,1486
863,1039,666,975,658,650,664
499,419,443,360,337,283,372
63,310,298,397,375,160,272
