hits_page_pageTitle,count
Home,12.17
Shopping Cart,11.82
Men's T-Shirts | Apparel | Google Merchandise Store,3.58
The Google Merchandise Store - Log In,3.18
Men's Outerwear | Apparel | Google Merchandise Store,3.1
Notebooks & Journals | Office | Google Merchandise Store,2.96
Store search results,2.93
Water Bottles & Tumblers | Drinkware | Google Merchandise Store,2.56
Fun | Accessories | Google Merchandise Store,1.99
Men's-T-Shirts,1.83
Checkout Your Information,1.7
Google Online Store,1.64
Backpacks | Bags | Google Merchandise Store,1.59
Payment Method,1.56
Writing Instruments | Office | Google Merchandise Store,1.53
Checkout Confirmation,1.51
Women's Outerwear | Apparel | Google Merchandise Store,1.4
Office,1.35
Women's T-Shirts | Apparel | Google Merchandise Store,1.29
YouTube | Shop by Brand | Google Merchandise Store,1.27
Office | Google Merchandise Store,1.21
Apparel | Google Merchandise Store,1.18
Headgear | Apparel | Google Merchandise Store,1.16
Men's Apparel | Google Merchandise Store,1.08
Drinkware | Google Merchandise Store,1.05
Drinkware,1.02
Accessories | Google Merchandise Store,1.02
Youth | Kids' Apparel | Google Merchandise Store,1.02
Mugs & Cups | Drinkware | Google Merchandise Store,1.0
Bags | Google Merchandise Store,1.0
Stickers | Accessories | Google Merchandise Store,1.0
Checkout Review,0.97
The Google Merchandise Store - My Account,0.94
Bags,0.94
Shopping & Totes | Bags | Google Merchandise Store,0.94
More Bags | Bags | Google Merchandise Store,0.86
Google | Shop by Brand | Google Merchandise Store,0.81
Infant | Kids' Apparel | Google Merchandise Store,0.78
Women's Apparel | Google Merchandise Store,0.75
Men's-Outerwear,0.73
Electronics,0.65
Men's Performance Wear | Apparel | Google Merchandise Store,0.59
Audio | Electronics | Google Merchandise Store,0.59
Accessories | Electronics | Google Merchandise Store,0.54
Page Unavailable,0.54
Toddler | Kids' Apparel | Google Merchandise Store,0.51
Electronics | Google Merchandise Store,0.48
Kid's-Infant,0.46
Women's-T-Shirts,0.46
Other | Office | Google Merchandise Store,0.43
Apparel,0.4
Lifestyle,0.4
YouTube,0.38
Power & Chargers | Electronics | Google Merchandise Store,0.38
The Google Merchandise Store/Malibu Sunglasses,0.38
Housewares | Accessories | Google Merchandise Store,0.35
Men's,0.35
Kids' Apparel | Google Merchandise Store,0.35
Pet | Accessories | Google Merchandise Store,0.3
Women's-Outerwear,0.3
Water Bottles and Tumblers,0.3
Notebooks & Journals,0.3
Google,0.27
Women's Performance Wear | Apparel | Google Merchandise Store,0.27
Kid's-Toddler,0.24
Android | Shop by Brand | Google Merchandise Store,0.24
Headgear,0.24
Sports & Fitness | Accessories | Google Merchandise Store,0.22
Kids-Youth,0.22
Gift Cards | Google Merchandise Store,0.22
BLM Sweatshirt,0.16
Women's,0.16
Waterproof Backpack,0.16
Accessories,0.16
Fun,0.16
Google 22 oz Water Bottle,0.16
Fruit Games,0.16
Google Men's Watershed Full Zip Hoodie Grey,0.13
Mugs and Cups,0.13
Android,0.13
Google Men's Weatherblock Shell Jacket Black,0.13
Google Laptop and Cell Phone Stickers,0.13
Google Men's Lightweight Microfleece Jacket Black,0.13
The Google Merchandise Store - Register,0.13
Color Changing Grip Pen,0.11
Google Men's Zip Hoodie,0.11
Google Rucksack,0.11
Google Men's 100% Cotton Short Sleeve Hero Tee Black,0.11
Flashlights | Electronics | Google Merchandise Store,0.08
Recycled Paper Journal Set,0.08
Android Women's Long Sleeve Blended Cardigan Grey,0.08
Google Pocket Bluetooth Speaker,0.08
Kid's,0.08
Google Hard Cover Journal,0.08
Google Twill Cap,0.08
Shopping and Totes,0.08
Google Collapsible Duffel,0.08
Frequently Asked Questions,0.08
The Google Merchandise Store/Compact Selfie Stick,0.08
Google Laptop Backpack,0.08
Your Wishlist,0.08
Writing Instruments,0.08
Google Metallic Notebook Set,0.08
Clearance Sale,0.08
Google Wool Heather Cap Heather/Navy,0.08
26 oz Double Wall Insulated Bottle,0.08
Suitcase Organizer Cubes,0.05
Google Tube Power Bank,0.05
Electronics Accessories,0.05
Google Doodle Decal,0.05
More Bags,0.05
Google Executive Umbrella,0.05
Google Baby Essentials Set,0.05
Google Women's Performance Full Zip Jacket Black,0.05
Google Men's Vintage Tank,0.05
Google Tri-blend Hoodie Grey,0.05
Google Zipper-front Sports Bag,0.05
Power,0.05
