hits_page_pageTitle,count
Checkout Confirmation,21.72
Shopping Cart,14.67
Payment Method,11.11
Checkout Review,8.85
Checkout Your Information,8.45
The Google Merchandise Store - Log In,3.85
The Google Merchandise Store - My Account,3.61
Home,2.72
Notebooks & Journals | Office | Google Merchandise Store,1.35
Store search results,1.32
Water Bottles & Tumblers | Drinkware | Google Merchandise Store,1.05
Men's T-Shirts | Apparel | Google Merchandise Store,0.83
The Google Merchandise Store - Register,0.83
Writing Instruments | Office | Google Merchandise Store,0.75
Men's Outerwear | Apparel | Google Merchandise Store,0.73
Fun | Accessories | Google Merchandise Store,0.7
Backpacks | Bags | Google Merchandise Store,0.57
Office,0.57
Stickers | Accessories | Google Merchandise Store,0.51
Accessories | Google Merchandise Store,0.48
YouTube | Shop by Brand | Google Merchandise Store,0.43
Mugs & Cups | Drinkware | Google Merchandise Store,0.43
Lifestyle,0.43
Headgear | Apparel | Google Merchandise Store,0.4
Men's-T-Shirts,0.4
Women's-T-Shirts,0.4
Women's T-Shirts | Apparel | Google Merchandise Store,0.4
Bags | Google Merchandise Store,0.38
Other | Office | Google Merchandise Store,0.38
Drinkware | Google Merchandise Store,0.38
Women's Outerwear | Apparel | Google Merchandise Store,0.35
Drinkware,0.35
Bags,0.32
Shopping & Totes | Bags | Google Merchandise Store,0.32
Electronics | Google Merchandise Store,0.32
Electronics,0.3
Women's Apparel | Google Merchandise Store,0.27
Housewares | Accessories | Google Merchandise Store,0.27
Apparel | Google Merchandise Store,0.27
Office | Google Merchandise Store,0.27
More Bags | Bags | Google Merchandise Store,0.24
Men's Apparel | Google Merchandise Store,0.24
Women's-Outerwear,0.24
The Google Merchandise Store/Malibu Sunglasses,0.24
Youth | Kids' Apparel | Google Merchandise Store,0.24
Toddler | Kids' Apparel | Google Merchandise Store,0.24
Power & Chargers | Electronics | Google Merchandise Store,0.24
Men's Performance Wear | Apparel | Google Merchandise Store,0.24
Accessories | Electronics | Google Merchandise Store,0.22
YouTube,0.22
Apparel,0.22
Audio | Electronics | Google Merchandise Store,0.22
Frequently Asked Questions,0.22
Kid's-Infant,0.19
Kids-Youth,0.19
Pet | Accessories | Google Merchandise Store,0.19
Men's-Outerwear,0.16
Infant | Kids' Apparel | Google Merchandise Store,0.13
Sports & Fitness | Accessories | Google Merchandise Store,0.13
Flashlights | Electronics | Google Merchandise Store,0.13
Google Alpine Style Backpack,0.11
Notebooks & Journals,0.11
Water Bottles and Tumblers,0.11
Shipping Information,0.11
Google | Shop by Brand | Google Merchandise Store,0.11
Google,0.11
Men's,0.11
Women's Performance Wear | Apparel | Google Merchandise Store,0.11
Women's,0.11
Android,0.11
Gift Cards | Google Merchandise Store,0.11
Google Leather Journal,0.11
Fruit Games,0.08
Google Men's 100% Cotton Short Sleeve Hero Tee White,0.08
Kid's-Toddler,0.08
Recycled Paper Journal Set,0.08
Housewares,0.05
Google 22 oz Water Bottle,0.05
YouTube Men's Short Sleeve Hero Tee Charcoal,0.05
Google Wool Heather Cap Heather/Navy,0.05
Google Men's Softshell Jacket Black/Grey,0.05
Google Men's Performance Full Zip Jacket Black,0.05
