hits_page_pageTitle,time_diff
Shopping Cart - https://shop.googlemerchandisestore.com/basket.html?vid=20160512512,0 days 00:08:00
The Google Merchandise Store/UFO Bluetooth Water Resistant Speaker,0 days 00:04:00
Android Men's Engineer Short Sleeve Tee Charcoal,0 days 00:01:56.470588235
The Google Merchandise Store/Plastic Sliding Flashlight,0 days 00:01:55.384615384
Potencia y Cargadores | Electrónica | Google tienda de artículos,0 days 00:01:50
Android Stretch Fit Hat,0 days 00:01:30
Google Toddler Short Sleeve T-shirt Grey,0 days 00:01:30
Android Wool Heather Cap Heather/Black,0 days 00:01:28.571428571
Gunmetal Roller Ball Pen,0 days 00:01:28
Google Men's Pullover Hoodie,0 days 00:01:27.272727272
Google Men's Short Sleeve Performance Badge Tee Charcoal,0 days 00:01:25.263157894
Google Men's Long Sleeve Raglan Cranberry,0 days 00:01:24
Google Accent Insulated Stainless Steel Bottle,0 days 00:01:20.869565217
Google Men's Vintage Badge Tee Sage,0 days 00:01:18.260869565
Android Baby Essentials Baby Set,0 days 00:01:17.142857142
Android Men's Take Charge Short Sleeve Tee Purple,0 days 00:01:15.652173913
Women's YouTube Short Sleeve Hero Tee Black,0 days 00:01:15
Android Onesie Sprout Green,0 days 00:01:13.333333333
Google Men's 3/4 Sleeve Raglan Henley Grey,0 days 00:01:10
Google Men's Bike Short Sleeve Tee Charcoal,0 days 00:01:08.135593220
Android Men's Long Sleeve Badge Crew Tee Heather,0 days 00:01:08
Google Women's Short Sleeve Badge Tee Grey,0 days 00:01:03.333333333
YouTube Men's Vintage Henley,0 days 00:01:02.857142857
Payment Method,0 days 00:01:02.552413456
Frequently Asked Questions,0 days 00:01:01.428571428
Power & Chargers | Electronics | Google Merchandise Store - https://shop.googlemerchandisestore.com/Google+Redesign/Electronics/Power,0 days 00:01:00
Google Women's Badge Performance Tee Black,0 days 00:01:00
Fun | Accessories | Google Merchandise Store - https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Fun,0 days 00:01:00
Mugs & Cups | Drinkware | Google Merchandise Store - https://shop.googlemerchandisestore.com/Google+Redesign/drinkware/mugs+and+cups,0 days 00:01:00
Checkout Review - https://shop.googlemerchandisestore.com/revieworder.html?vid=20160512512&cspResult=CheckoutSuccess&currentDate=Tue+Dec+06+10%3A20%3A50+EST+2016,0 days 00:01:00
Checkout Your Information - https://shop.googlemerchandisestore.com/yourinfo.html?vid=20160512512,0 days 00:01:00
Google Adult Tee Fruit Games Dragonfruit,0 days 00:01:00
Shopping Cart - https://shop.googlemerchandisestore.com/basket.html?vid=20160512512&executedAction=addItem&executeActionStatus=true,0 days 00:01:00
Pet Collapsi-Bowl,0 days 00:01:00
Sports & Fitness | Accessories | Google Merchandise Store - https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Sports++Fitness,0 days 00:01:00
Google masculino 100% algodón de manga corta T-héroe Negro,0 days 00:01:00
YouTube Men's 3/4 Sleeve Henley,0 days 00:01:00
Yoga Mat Purple,0 days 00:01:00
