Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
626,299,266,293,478,245,422
237,384,111,231,126,81,275
96,122,192,321,200,116,123
130,233,562,491,265,176,52
775,885,696,711,1120,169,380
1991,1428,1435,2244,1941,867,606
2500,2953,2702,3141,3204,792,625
4497,4006,4169,5175,4745,1068,1724
3292,4569,5000,4544,4599,1372,1259
5441,4769,5708,5510,5453,1912,1790
6281,5780,4795,4778,5535,1893,1995
5699,5170,5057,4296,5426,1838,1825
4994,5750,5163,4559,4104,1906,2834
4768,4359,4493,4608,4894,2486,1912
4972,3749,4098,3701,5440,1534,2257
3374,3157,3287,3129,3635,1539,1833
3637,3153,3541,2960,2564,2187,2803
3124,2607,2735,2929,1931,1314,2241
3224,2818,2981,2505,2622,1180,2709
2654,2367,2548,1669,1973,1263,1311
2839,2409,2882,2087,1479,1242,2714
1819,1695,1538,1404,1141,903,1289
813,806,936,647,558,530,641
226,650,621,865,429,296,298
