visit_Cnt,buy_Cnt,total_Revenue
1,1,39.59
3,1,46.79
2,1,316.62
1,1,45.97
1,1,80.0
1,1,98.96
2,1,22.19
1,1,17.99
2,1,9.99
1,1,20.13
2,1,155.98
2,1,10.98
8,1,63.96
16,1,15.47
6,1,23.3
5,1,80.99
1,1,26.98
8,2,491.54999999999995
3,1,66.5
3,1,76.78
1,1,24.47
4,1,21.99
6,1,147.0
4,1,37.59
2,1,68.99
1,1,11.48
3,1,50.78
1,1,19.99
5,2,154.76
2,1,42.38
1,1,22.19
1,1,41.59
5,1,18.59
1,1,42.97
1,1,23.99
3,1,7.39
1,1,25.99
4,1,142.27
2,1,64.99
8,3,140.51
1,1,48.35
4,1,5.5
1,1,38.59
3,1,32.16
6,2,126.97999999999999
2,1,18.99
1,1,71.99
2,1,13.46
8,2,96.37
3,1,69.22
2,1,99.15
3,1,5.77
2,1,92.92
3,1,1917.0
3,1,43.96
1,1,34.99
1,1,35.95
1,1,46.98
6,1,32.44
2,1,180.99
4,1,243.75
1,1,33.76
2,1,319.36
2,1,32.55
2,1,14.39
5,1,298.07
3,1,17.68
2,1,51.93
9,1,94.56
2,1,64.17
5,1,1105.0
7,1,92.31
12,1,109.78
1,1,36.49
4,2,897.95
2,1,1286.0
1,1,70.84
9,1,30.56
2,1,14.99
3,1,423.11
4,1,23.19
1,1,24.99
2,1,183.36
1,1,146.5
1,1,28.99
3,1,61.84
2,1,31.49
2,1,10.98
3,1,471.87
5,1,2115.8
7,1,33.98
1,1,379.36
2,1,133.74
1,1,26.79
2,1,249.78
1,1,36.98
4,2,132.46
1,1,64.15
3,1,29.49
4,1,39.39
6,1,117.38
4,1,44.52
3,1,24.99
1,1,23.99
2,1,23.97
1,1,50.28
2,1,50.98
2,1,60.75
2,1,29.58
4,1,77.44
3,2,102.84
2,1,47.59
1,1,43.6
5,1,152.89
7,1,248.96
9,3,287.72
1,1,32.18
1,1,88.92
1,1,160.09
6,1,29.78
1,1,13.4
4,1,385.12
2,1,229.95
2,1,91.99
1,1,48.99
3,1,45.98
1,1,59.97
2,1,67.97
2,1,36.98
4,2,191.31
2,1,1688.72
1,1,20.59
1,1,59.99
4,1,29.56
1,1,268.96
1,1,23.31
4,1,61.99
1,1,41.98
3,1,13.96
2,1,49.79
1,1,40.56
8,1,251.54
1,1,125.63
1,1,33.19
3,1,72.15
1,1,48.97
6,1,42.95
3,1,63.78
1,1,27.99
2,1,151.97
4,1,728.38
1,1,24.99
3,1,88.19
2,1,38.98
3,1,33.9
1,1,7.99
3,1,63.96
1,1,130.47
1,1,24.99
2,1,21.99
7,1,1659.7
2,1,220.7
2,1,326.25
