visit_Cnt,buy_Cnt,total_Revenue,labels
1,1,39.59,0
3,1,46.79,0
2,1,316.62,0
1,1,45.97,0
1,1,80.0,0
1,1,98.96,0
2,1,22.19,0
1,1,17.99,0
2,1,9.99,0
1,1,20.13,0
2,1,155.98,0
2,1,10.98,0
8,1,63.96,0
16,1,15.47,0
6,1,23.3,0
5,1,80.99,0
1,1,26.98,0
8,2,491.54999999999995,0
3,1,66.5,0
3,1,76.78,0
1,1,24.47,0
4,1,21.99,0
6,1,147.0,0
4,1,37.59,0
2,1,68.99,0
1,1,11.48,0
3,1,50.78,0
1,1,19.99,0
5,2,154.76,0
2,1,42.38,0
1,1,22.19,0
1,1,41.59,0
5,1,18.59,0
1,1,42.97,0
1,1,23.99,0
3,1,7.39,0
1,1,25.99,0
4,1,142.27,0
2,1,64.99,0
8,3,140.51,0
1,1,48.35,0
4,1,5.5,0
1,1,38.59,0
3,1,32.16,0
6,2,126.97999999999999,0
2,1,18.99,0
1,1,71.99,0
2,1,13.46,0
8,2,96.37,0
3,1,69.22,0
2,1,99.15,0
3,1,5.77,0
2,1,92.92,0
3,1,1917.0,0
3,1,43.96,0
1,1,34.99,0
1,1,35.95,0
1,1,46.98,0
6,1,32.44,0
2,1,180.99,0
4,1,243.75,0
1,1,33.76,0
2,1,319.36,0
2,1,32.55,0
2,1,14.39,0
5,1,298.07,0
3,1,17.68,0
2,1,51.93,0
9,1,94.56,0
2,1,64.17,0
5,1,1105.0,0
7,1,92.31,0
12,1,109.78,0
1,1,36.49,0
4,2,897.95,0
2,1,1286.0,0
1,1,70.84,0
9,1,30.56,0
2,1,14.99,0
3,1,423.11,0
4,1,23.19,0
1,1,24.99,0
2,1,183.36,0
1,1,146.5,0
1,1,28.99,0
3,1,61.84,0
2,1,31.49,0
2,1,10.98,0
3,1,471.87,0
5,1,2115.8,0
7,1,33.98,0
1,1,379.36,0
2,1,133.74,0
1,1,26.79,0
2,1,249.78,0
1,1,36.98,0
4,2,132.46,0
1,1,64.15,0
3,1,29.49,0
4,1,39.39,0
6,1,117.38,0
4,1,44.52,0
3,1,24.99,0
1,1,23.99,0
2,1,23.97,0
1,1,50.28,0
2,1,50.98,0
2,1,60.75,0
2,1,29.58,0
4,1,77.44,0
3,2,102.84,0
2,1,47.59,0
1,1,43.6,0
5,1,152.89,0
7,1,248.96,0
9,3,287.72,0
1,1,32.18,0
1,1,88.92,0
1,1,160.09,0
6,1,29.78,0
1,1,13.4,0
4,1,385.12,0
2,1,229.95,0
2,1,91.99,0
1,1,48.99,0
3,1,45.98,0
1,1,59.97,0
2,1,67.97,0
2,1,36.98,0
4,2,191.31,0
2,1,1688.72,0
1,1,20.59,0
1,1,59.99,0
4,1,29.56,0
1,1,268.96,0
1,1,23.31,0
4,1,61.99,0
1,1,41.98,0
3,1,13.96,0
2,1,49.79,0
1,1,40.56,0
8,1,251.54,0
1,1,125.63,0
1,1,33.19,0
3,1,72.15,0
1,1,48.97,0
6,1,42.95,0
3,1,63.78,0
1,1,27.99,0
2,1,151.97,0
4,1,728.38,0
1,1,24.99,0
3,1,88.19,0
2,1,38.98,0
3,1,33.9,0
1,1,7.99,0
3,1,63.96,0
1,1,130.47,0
1,1,24.99,0
2,1,21.99,0
7,1,1659.7,0
2,1,220.7,0
2,1,326.25,0
6,1,247.0,0
1,1,44.15,0
4,1,563.5,0
3,1,25.59,0
2,1,196.1,0
2,1,50.99,0
8,2,391.18,0
6,1,137.13,0
1,1,36.98,0
3,1,97.55,0
4,1,17.99,0
6,1,42.17,0
3,1,16.43,0
3,1,65.77,0
3,1,211.68,0
7,1,502.03,0
1,1,28.17,0
3,1,31.39,0
1,1,16.97,0
2,1,99.97,0
5,1,34.98,0
6,1,154.87,0
1,1,26.59,0
13,1,20.46,0
3,1,62.87,0
1,1,13.99,0
2,1,52.37,0
4,1,21.42,0
4,3,162.62,0
2,1,39.38,0
2,1,16.98,0
3,1,89.98,0
3,1,42.18,0
4,1,23.97,0
3,1,627.75,0
3,1,25.97,0
2,1,37.17,0
4,2,65.95,0
7,1,487.6,0
2,1,31.15,0
2,1,55.37,0
2,1,91.58,0
2,1,162.91,0
1,1,139.85,0
5,1,369.66,0
11,3,1925.96,0
1,1,63.97,0
3,2,148.51,0
2,1,23.99,0
6,3,399.55,0
2,1,31.92,0
5,1,208.55,0
3,1,7.98,0
5,1,19.79,0
4,1,36.26,0
4,1,18.39,0
1,1,24.5,0
1,1,41.98,0
1,1,55.1,0
5,1,42.62,0
1,1,21.31,0
7,1,65.99,0
4,1,33.97,0
8,2,158.97,0
8,2,7056.15,0
1,1,35.91,0
3,1,34.54,0
4,1,475.75,0
3,2,43.57,0
9,2,377.66999999999996,0
2,1,46.98,0
2,1,62.52,0
18,1,55.74,0
6,1,81.71,0
2,1,39.16,0
7,1,127.96,0
3,1,346.62,0
5,1,117.32,0
2,1,19.18,0
1,1,173.27,0
2,1,31.93,0
1,1,24.19,0
1,1,83.81,0
1,1,72.36,0
5,1,93.99,0
4,1,44.48,0
14,1,39.37,0
3,1,49.29,0
1,1,86.34,0
5,1,93.87,0
4,1,23.39,0
5,1,26.82,0
2,1,108.14,0
1,1,47.95,0
3,1,244.14,0
1,1,28.98,0
1,1,74.19,0
4,2,3531.12,0
5,1,39.98,0
1,1,14.97,0
4,1,37.59,0
1,1,14.98,0
1,1,21.62,0
2,1,21.19,0
3,1,42.98,0
2,1,83.64,0
4,2,1162.99,0
2,1,80.9,0
4,1,73.18,0
1,1,35.19,0
8,1,39.98,0
1,1,40.79,0
