Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
428.0,126.0,109.0,,302.0,110.0,274.0
77.0,163.0,77.0,,,,184.0
25.0,32.0,100.0,37.0,26.0,9.0,60.0
22.0,73.0,307.0,251.0,97.0,118.0,30.0
435.0,457.0,299.0,402.0,772.0,59.0,199.0
1177.0,696.0,610.0,1435.0,1108.0,673.0,274.0
1246.0,1597.0,1451.0,1471.0,2286.0,438.0,338.0
2499.0,2328.0,2343.0,3175.0,2606.0,389.0,1001.0
1587.0,2711.0,2973.0,2420.0,2717.0,561.0,742.0
2907.0,2374.0,3345.0,2627.0,2808.0,774.0,500.0
3406.0,3103.0,2402.0,2410.0,3038.0,676.0,1097.0
3369.0,2797.0,2362.0,1906.0,3234.0,783.0,951.0
2468.0,3171.0,2905.0,1960.0,1958.0,680.0,1662.0
2699.0,1745.0,2372.0,2734.0,2179.0,1261.0,761.0
3149.0,2046.0,2143.0,1739.0,2405.0,580.0,910.0
1258.0,1032.0,1473.0,1214.0,1064.0,667.0,775.0
1823.0,1349.0,1766.0,1164.0,1083.0,964.0,1327.0
1613.0,1417.0,1262.0,1349.0,651.0,368.0,593.0
1661.0,1159.0,1676.0,1020.0,1102.0,435.0,1197.0
970.0,1026.0,1177.0,710.0,800.0,343.0,605.0
1154.0,1137.0,1809.0,1147.0,748.0,554.0,1228.0
956.0,656.0,872.0,429.0,483.0,253.0,625.0
314.0,387.0,493.0,287.0,221.0,247.0,269.0
163.0,340.0,323.0,468.0,54.0,136.0,26.0
